state,address,latitude,longitude
Andhra Pradesh,"Sri    Venkateswara    Institute    of    Medical    Sciences, Tirupati",13.637933,79.403897
Andhra Pradesh,"Rangaraya Medical College, Kakinada",16.979179,82.237264
Andhra Pradesh,"Sidhartha Medical College, Vijaywada",16.517462,80.671319
Andhra Pradesh,"Govt. Medical College, Ananthpur",14.671209,77.592864
Andhra Pradesh,"Guntur Medical College, Guntur",16.298229,80.438303
Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",18.314404,83.888667
Assam,"Gauhati Medical College, Guwahati",26.131365,91.768321
Assam,"Regional Medical Research Center, Dibrugarh",27.4727,94.982788
Assam,"Jorhat Medical College, Jorhat",26.74258,94.195156
Assam,"Silchar Medical College, Silchar",24.775796,92.794904
Assam,"Fakkhruddin Ali Ahmed Medical College, Barpeta",26.324425,90.984966
Bihar,"Rajendra   Memorial   Research   Institute   of   Medical Sciences, Patna",25.599738,85.197713
Bihar,"Indira Gandhi Institute Medical Sciences, Patna",25.61056,85.088922
Bihar,"Patna Medical College, Patna",25.623799,85.129868
Bihar,"Darbhanga Medical College, Darbhanga",26.133353,85.899046
Bihar,"SKMCH, Muzaffarpur",26.166954,85.393427
Chandigarh,"Post   Graduate   Institute   of   Medical   Education   & Research, Chandigarh",30.764988,76.775038
Chandigarh,"Govt. Medical College, Chandigarh",30.708835,76.78047
Chattisgarh,All India Institute of Medical Sciences,21.256761,81.579163
Chattisgarh,"Late   Baliram   Kashyap   M   Govt.    Medical   College, Jagdalpur",19.050698,81.948169
Delhi,All India Institute Medical Sciences,28.5672,77.210024
Delhi,Lady Hardinge Medical College,28.634211,77.212555
Delhi,National Centre for Disease Control,28.679471,77.223578
Delhi,Ram Manohar Lohia Hospital,28.625725,77.202713
Delhi,Institute of Liver & Biliary Sciences,28.506644,77.166127
Delhi,Army Hospital Research & Referral,28.583659,77.157856
Delhi,Maulana Azad Medical College,28.635744,77.240063
Gujarat,"BJ Medical College, Ahmedabad",23.052454,72.602848
Gujarat,"MP Shah Govt Medical College, Jamnagar",22.477364,70.065205
Gujarat,"Govt. Medical College, Surat",21.178053,72.820245
Gujarat,"Govt. Medical College, Bhavnagar",21.768752,72.13702
Gujarat,"Govt. Medical College, Vadodara",22.304384,73.191809
Gujarat,P.D.U. Medical College,22.307288,70.798412
Gujarat,"NHL Medical College, Ahmedabad",23.018656,72.571325
Goa,"Goa Medical College, Goa",15.46433,73.858396
Haryana,"Pt. B.D. Sharma Post Graduate Inst. Of Med. Sciences, Rohtak, Haryana",28.880131,76.605533
Haryana,"BPS Govt. Medical College, Sonipat",29.15206,76.808376
Himachal Pradesh,"Indira Gandhi Medical College, Shimla",31.106488,77.182248
Himachal Pradesh,"Dr. Rajendra Prasad Govt. Medical College, Tanda",32.099199,76.298729
Jammu & Kashmir,"Govt. Medical College, Jammu",32.736106,74.85397
Jammu & Kashmir,Command Hospital (NC) Udhampur,32.930787,75.135342
Jammu & Kashmir,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar",34.13615,74.800034
Jammu & Kashmir,"Govt. Medical College, Srinagar",34.085967,74.798826
Jharkhand,"MGM Medical College & Hospital, Jamshedpur",22.843681,86.232428
Jharkhand,"Rajendra Institute of Medical Sciences, Ranchi",23.391501,85.34847
Jharkhand,"Patliputra Medical College & Hospital, Dhanbad",23.808656,86.462397
Karnataka,"Hassan Inst. Of Med. Sciences, Hassan",13.004871,76.102675
Karnataka,"Mysore Medical College & Research Institute, Mysore",12.31502,76.650432
Karnataka,"Shivamogga Institute of Medical Sciences, Shivamogga",13.932658,75.566823
Karnataka,"Command Hospital (Air Force), Bengaluru",12.96465,77.628129
Karnataka,"Bangalore    Medical    College    &    Research    Institute, Bengaluru",12.959405,77.57468
Karnataka,"National  Institute  of  Virology,  Bangalore  Field  Unit, Bengaluru",12.937331,77.590832
Karnataka,"Gulbarga Institute of Medical Sciences, Gulbarga",17.328488,76.839863
Karnataka,"Vijaynagar Institute of Medical Sciences, Bellary",15.152946,76.896684
