state,address,latitude,longitude
delhi ,"Lal Path Labs, Block -E, Sector 18, Rohini, Delhi",28.738942,77.136414
delhi ," Dr  Dangs  Lab,  C-2/1,  Safadarjung  Development  Area,  New- Delhi",28.550136,77.203448
delhi ,"Laboratory  Services,  Indraprastha  Apollo  Hospitals,  Sarita Vihar, New Delhi",28.540611,77.283421
delhi ," Max Lab, Max Super Spciality Hospital, Saket, New-Delhi",28.527656,77.2121
delhi ,"Sir Ganga Ram Hospital Clinical Lab Services, Sir Ganga Ram Hospital, Delhi",28.638842,77.190108
delhi ,"Oncquest Labs Ltd, 3-Factory Road, New-Delhi",28.56852,77.20181
delhi ," Prognosis Laboratories, 515-16, Sector 19, Dwarka",28.580249,77.050982
delhi ,"City  X-Ray  &  Scan  Clinic  Pvt  Ltd,  4B/18,  Tilak  Nagar,  New- Delhi",28.639093,77.08677
gujarat,"Unipath   Specialty   laboratory   limited,   102,   Sanoma   Plaza, Opposite   Parimal   Garden,   Besides   JMC   House,   Ellisbridge, Ahmedabad",23.019137,72.555663
gujarat,"Supratech  Micropath  Laboratory  &  Research  Institute  Pvt  Ltd, Kedar, Ahmedabad",23.019818,72.559275
gujarat," SN GeneLab Pvt Ltd, President Plaza ?A, Near Mahavir Hospital, Nanpura, Surat",21.183366,72.814357
gujarat,"Pangenomics International Pvt Ltd, Ellis Bridge, Ahmedabad",23.019567,72.560587
haryana,"Strand Life Sciences, A-17, Sector 34, Gurugram",28.429434,77.015524
haryana,"SRL Limited, GP26, Sector 18, Gurugram",28.489166,77.061716
haryana," Modern Diagnostic & Research Centre-Lab, 363-364/4, JAwahar Nagar. Gurgaon",28.466014,77.026944
haryana," Core Diagnostics Pvt Ltd, Udyog Vihar Phase-3, Gurgaon",28.50929,77.091632
haryana,"MolQ Laboratory, Plot 28,29; Sector 18(P), Electronic city, Udyog Vihar, Phase IV, Gurgaon",28.500404,77.072066
haryana,"Pathkind Diagnostics Pvt Ltd, Plot 55-56, Phase 4, Udyog Vihar, Sec 18, Gurgaon",28.493016,77.082643
karnataka," Neuberg   Anand   Reference   Laboratory,   Anand   Tower,   #54, Bowring Hospital Road, Bengaluru",12.982109,77.60378
karnataka,"Cancyte  Technologies  Pvt  Ltd,  Sri  Shankara  Research  Centre, Bengaluru",12.95439,77.571652
karnataka," Sakra World Hospital Lab Services, Devarabeesanahalli VArthur Hobli, Bengaluru",12.932322,77.68517
karnataka,"Central Diagnostic Lab, Vydehi Institute of Medical Sciences and Research Centre, #82, E.P.I.P. Area, Whitefield, Bengaluru",12.975846,77.729404
karnataka," Lab   Services,  Apollo   Hospitals,  154/11,  Bannerghatta   Road, Bengaluru",12.896035,77.599455
maharashtra,"Thyrocare Technologies Limited, D37/1, TTC MIDC, Turbhe, Navi Mumbai",19.061699,73.02556
maharashtra,"Suburban  Diagnostics  (India)  Pvt.  Ltd.,  306,  307/T,  3rd   Floor, Sunshine Bld., Andheri (W), Mumbai",19.137595,72.825455
maharashtra,"Metropolis   Healthcare   Ltd,   Unit   No.   409-416,   4th     Floor, Commercial Building-1, Kohinoor Mall, Mumbai",19.082019,72.885709
maharashtra,"Sir  H.N.  Reliance  Foundation  Hospital  and  Research  Centre, Molecular Medicine, Reliance Life Sciences Pvt. Ltd., R-282, TTC Industrial Area, Rabale, Navi Mumbai",19.139209,73.004441
maharashtra,"SRL   Limited,   Prime   Square   Building,   Plot   No   1,   Gaiwadi Industrial Estate, SV Road, Goregaon, Mumbai",19.171395,72.845612
maharashtra,"A.G. Diagnostics Pvt Ltd, Nayantara Building, Pune",18.518846,73.831076
maharashtra,"Kokilaben    Dhirubhai    Ambani    Hospital    Laboratory,    Four Bungalows, Mumbai",19.131252,72.825057
maharashtra,"InfeXn Laboratories Private Limited, A/131, Therelek Compound, Road No 23, Wagle Industrial Estate, Thane (W)",19.19504,72.94855
maharashtra,"iGenetic   Diagnostics   Pvt   Ltd,   Krislon   House,   Andheri   East, Mumbai",19.110265,72.887078
maharashtra,"Tata   Memorial   Centre   Diagnostic   Services-Tata   Memorial Hospital, Parel, Mumbai",19.004906,72.843163
maharashtra,"Sahyadri  Speciality  Labs,  Plot  No  54,  S.No.  89-90,  Lokmanya Colony, Kothrud, Pune",18.507756,73.804414
