S.NO.,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY
0,2015-16,JAMMU AND KASHMIR,KUPWARA,875564,34.62,843,66.92,54.79,77.1
1,2015-16,JAMMU AND KASHMIR,BARAMULA,1015503,20.34,873,66.93,55.01,77.35
2,2015-16,JAMMU AND KASHMIR,SRINAGAR,1269751,23.56,879,71.21,63.47,77.95
3,2015-16,JAMMU AND KASHMIR,BADGAM,735753,21.18,883,57.98,46.6,68.56
4,2015-16,JAMMU AND KASHMIR,PULWAMA,570060,29.18,913,65,53.81,75.41
5,2015-16,JAMMU AND KASHMIR,ANANTNAG,1070144,37.48,937,64.32,54.15,74.13
6,2015-16,JAMMU AND KASHMIR,LEH (LADAKH),147104,25.48,583,80.48,64.52,89.39
7,2015-16,JAMMU AND KASHMIR,KARGIL,143388,20.18,775,74.49,58.05,86.73
8,2015-16,JAMMU AND KASHMIR,DODA,409576,27.89,922,65.97,50.34,80.36
9,2015-16,JAMMU AND KASHMIR,UDHAMPUR,555357,20.86,863,69.9,58.22,79.93
10,2015-16,JAMMU AND KASHMIR,PUNCH,476820,27.97,890,68.69,54.8,81.04
11,2015-16,JAMMU AND KASHMIR,RAJAURI,619266,28.14,863,68.54,57.2,78.38
12,2015-16,JAMMU AND KASHMIR,JAMMU,1526406,12.48,871,83.98,77.41,89.77
13,2015-16,JAMMU AND KASHMIR,KATHUA,615711,20.38,877,73.5,64.56,81.4
14,2015-16,JAMMU AND KASHMIR,SHOPIAN,265960,25.85,951,62.49,52.77,71.86
15,2015-16,JAMMU AND KASHMIR,BANDIPORA,385099,26.31,911,57.82,46.24,68.41
16,2015-16,JAMMU AND KASHMIR,KISHTWAR,231037,21.06,917,58.54,44.13,71.75
17,2015-16,JAMMU AND KASHMIR,RAMBAN,283313,31.81,901,56.9,40.04,71.97
18,2015-16,JAMMU AND KASHMIR,GANDERBAL,297003,36.3,869,59.99,47.62,70.74
19,2015-16,JAMMU AND KASHMIR,KULGAM,422786,7.3,951,60.35,49.74,70.58
20,2015-16,JAMMU AND KASHMIR,REASI,314714,27.06,891,59.42,47.55,69.93
21,2015-16,JAMMU AND KASHMIR,SAMBA,318611,16.9,886,82.48,74.39,89.76
22,2015-16,HIMACHAL PRADESH,CHAMBA,518844,12.58,989,73.19,62.14,84.19
23,2015-16,HIMACHAL PRADESH,KANGRA,1507223,12.56,1013,86.49,80.62,92.55
24,2015-16,HIMACHAL PRADESH,LAHUL AND SPITI,31528,-5.1,916,77.24,66.5,86.97
25,2015-16,HIMACHAL PRADESH,KULLU,437474,14.65,950,80.14,71.01,88.8
26,2015-16,HIMACHAL PRADESH,MANDI,999518,10.89,1012,82.81,74.33,91.51
27,2015-16,HIMACHAL PRADESH,HAMIRPUR (H,454293,10.08,1096,89.01,83.44,95.28
28,2015-16,HIMACHAL PRADESH,UNA,521057,16.24,977,87.23,81.67,92.75
29,2015-16,HIMACHAL PRADESH,BILASPUR (H,382056,12.08,981,85.67,78.9,92.39
30,2015-16,HIMACHAL PRADESH,SOLAN,576670,15.21,884,85.02,78.02,91.19
31,2015-16,HIMACHAL PRADESH,SIRMAUR,530164,15.61,915,79.98,72.55,86.76
32,2015-16,HIMACHAL PRADESH,SHIMLA,813384,12.58,916,84.55,77.8,90.73
33,2015-16,HIMACHAL PRADESH,KINNAUR,84298,7.61,818,80.77,71.34,88.37
34,2015-16,PUNJAB,GURDASPUR,2299026,9.3,895,81.06,75.73,85.9
35,2015-16,PUNJAB,AMRITSAR,2490891,15.48,884,77.2,72.75,81.2
36,2015-16,PUNJAB,KAPURTHALA,817668,8.37,912,80.18,75.36,84.6
37,2015-16,PUNJAB,JALANDHAR,2181753,11.16,913,82.4,78.31,86.1
38,2015-16,PUNJAB,HOSHIARPUR,1582793,6.85,962,85.43,80.78,89.9
39,2015-16,PUNJAB,NAWANSHAHR,614362,4.58,954,80.33,74.28,86.2
40,2015-16,PUNJAB,RUPNAGAR,683349,8.67,913,83.28,77.17,88.9
41,2015-16,PUNJAB,FATEHGARH SAHIB,599814,11.39,871,80.33,75.53,84.5
42,2015-16,PUNJAB,LUDHIANA,3487882,15,869,82.54,78.16,86.3
43,2015-16,PUNJAB,MOGA,992289,10.9,893,71.59,67.41,75.3
44,2015-16,PUNJAB,FIROZPUR,2026831,16.08,893,69.85,62.24,76.7
45,2015-16,PUNJAB,MUKTSAR,902702,16.1,895,66.79,60.03,72.9
46,2015-16,PUNJAB,FARIDKOT,618008,12.18,889,70.65,64.82,75.9
47,2015-16,PUNJAB,BATHINDA,1388859,17.37,865,69.57,62.92,75.3
48,2015-16,PUNJAB,MANSA,768808,11.62,880,62.78,56.41,68.4
49,2015-16,PUNJAB,SANGRUR,1654408,12.3,883,68.88,62.86,74.2
50,2015-16,PUNJAB,PATIALA,1892282,19.4,888,76.26,70.47,81.4
51,2015-16,PUNJAB,MOHALI,986147,32.02,878,84.87,80.01,89.2
52,2015-16,PUNJAB,TARAN TARAN,1120070,19.28,898,69.43,62.88,75.4
53,2015-16,PUNJAB,BARNALA,596294,13.16,876,68.9,64.14,73.1
54,2015-16,PUNJAB,Fazilka,0,0,0,0,0,0
55,2015-16,PUNJAB,PATHANKOT,0,0,0,0,0,0
56,2015-16,CHANDIGARH,CHANDIGARH,1054686,17.1,818,86.43,81.38,90.54
57,2015-16,UTTARAKHAND,UTTARKASHI,329686,11.75,959,75.98,62.23,89.26
58,2015-16,UTTARAKHAND,CHAMOLI,391114,5.6,1021,83.48,73.2,94.18
59,2015-16,UTTARAKHAND,RUDRAPRAYAG,236857,4.14,1120,82.09,70.94,94.97
